Customer ID,Tenant Name,Matched Credit Name,Match Score,Calculated Similarity,Match Method,Credit File,Mismatch Flag
,"Diagnostic Support Services, Inc.","Triangle Services, Inc.",73,60.0,Token fuzzy match,FP TCE_v7.44 - Triangle Services (2024-11-19).pdf,MEDIUM
,"Diagnostic Support Services, Inc.","Triangle Services, Inc.",73,60.0,Token fuzzy match,FP TCE_v7.44 - Triangle Services (2024-11-19).pdf,MEDIUM
c0000759,"Xcision Medical Systems, LLC","Viscot Medical, LLC",76,61.5,Token fuzzy match,FP TCE_v7.44 - Viscot Medical (2024-12-28).pdf,MEDIUM
c0000531,Overhead Door Corporation,Chemed Corporation,76,62.9,Token fuzzy match,FP TCE_v6.67 - RotoRooter Plumbing & Drain Service (2024-04-16).pdf,MEDIUM
c0000531,Overhead Door Corporation,Chemed Corporation,76,62.9,Token fuzzy match,FP TCE_v6.67 - RotoRooter Plumbing & Drain Service (2024-04-16).pdf,MEDIUM
c0000771,Marcolin U.S.A. Eyewear Corp.,Macrolin U.S.A. Eyewear Corp (sub of Marcolin Group),100,63.0,Token fuzzy match,FP TCE_v7.52 - Marcolin (2025-05-06).pdf,MEDIUM
c0000872,"Atlas Copco Compressors, LLC",Atlas Copco AB,88,63.2,Token fuzzy match,FP TCE_v6.23 - Atlas Copco_v2.pdf,MEDIUM
c0000522,OEM Accessories  Incorporated,Corning Incorporated,75,65.1,Token fuzzy match,FP TCE_v7.45 - Corning Incorporated (2025-01-28).pdf,MEDIUM
c0000215,Cryovation LLC,Motorvation LLC,76,66.7,Token fuzzy match,FP TCE_v6.65 - Motorvation LLC (2023-11-07).pdf,MEDIUM
c0000985,"All-N-Express, LLC","ORAS Express, LLC",81,66.7,Token fuzzy match,FP TCE_v7.44 - ORAS Express (2024-11-28).pdf,MEDIUM
,"American Traffic Solutions, Inc.","American Traffic Solutions, Inc. (ATS) sub of Verra Mobility",100,67.4,Token fuzzy match,FP TCE_v7.52 - American Traffic Solutions (2025-05-09).pdf,MEDIUM
c0000418,L&W Supply Corporation,ABC Supply Holding Corporation,77,68.2,Fuzzy match,FP TCE_v7.44 - ABC Supply Corp (2024-10-08).pdf,MEDIUM
c0000753,Werner Aero Services,"Werner Aero, LLC",85,68.8,Token fuzzy match,FP TCE_v7.44 - WernerAero (2024-11-22).pdf,MEDIUM
,"On Time Express, LLC","ORAS Express, LLC",81,69.0,Token fuzzy match,FP TCE_v7.44 - ORAS Express (2024-11-28).pdf,MEDIUM
c0001036,"Genband Industries, LLC","945 Industries, LLC",75,70.6,Fuzzy match,FP TCE_v7.45 - 945 Industries (2025-04-18).pdf,MEDIUM
c0000959,"Mash Enterprise, LLC","Insight Enterprises, Inc.",71,73.7,Token fuzzy match,FP TCE_v7.44 - Insight Enterprise (2024-10-11).pdf,MEDIUM
c0000873,"Bates Enterprises, Inc.","Insight Enterprises, Inc.",83,76.2,Token fuzzy match,FP TCE_v7.44 - Insight Enterprise (2024-10-11).pdf,MEDIUM
