filename,tenant_name,revenue,website,industry,business_description,credit_score,credit_rating,probability_of_default
FP TCE_v7.53 - TopBuild Corp (NYSE BLD) (2025-06-10).pdf,TopBuild Corp,$4605M,https://www.topbuild.com/,Installs and distributes insulation and building products.,Installs and distributes insulation and building products.,6.50,,
FP TCE_v7.45 - Clarion Technologies (2025-04-21).pdf,"CLARION TECHNOLOGIES, INC.",$80.4M,https://www.clariontechnologies.com/,Injection-molded plastic components manufacturer.,Injection-molded plastic components manufacturer.,3.00,,
"FP TCE_v7.53 - Whole Stones, LLC (2025-07-29).pdf","Whole Stones, LLC",$9M,https://wholestones.us,Custom stone fabrication and installation services,Custom stone fabrication and installation services,3.00,CC,
FP TCE_v7.53 - Dynamic Rubber (2025-07-22).pdf,"Dynamic Rubber, Inc. (DR)",$7.4M,https://www.dynamicrubber.com/,Custom manufacturer of inflatable rubber sealing systems.,Custom manufacturer of inflatable rubber sealing systems.,4.50,,
FP TCE_v7.44 - Flack Steel (2024-09-06).pdf,"Flack Steel, LLC",$508.7M,https://flackglobalmetals.com/,"model, which is rather unique, yet Employees 50-100","model, which is rather unique, yet Employees 50-100",3.00,,
FP TCE_v7.44 - Licaflex (2024-12-06).pdf,"Licaflex Packaging, Inc.",$296M,https://licaflex.com/,Flexible plastic packaging manufacturer and supplier.,Flexible plastic packaging manufacturer and supplier.,6.00,BB,
FP TCE_v6.68 - Ox Industries (2024-09-10).pdf,"Ox Industries, Inc.",$272.7M,https://oxindustries.com/,Manufactures recycled paperboard and protective packaging products.,Manufactures recycled paperboard and protective packaging products.,,,
FP TCE_v7.53 - ADT (2025-07-17).pdf,ADT Inc.,$4898.4M,https://www.adt.com/,"Security, monitoring, and smart-home solutions provider.","Security, monitoring, and smart-home solutions provider.",6.00,,
FP TCE_v7.45 - Young Innovations (2025-03-06).pdf,"preventive, restorative, and infection control solutions. Industry Risk Assessment KPI Rating Contribution Industry Group Description",$163M,https://younginnovations.com/,Dental products manufacturer and distributor.,Dental products manufacturer and distributor.,4.50,,
FP TCE_v7.52 - TX Logistics & Fulfillment (2025-05-29).pdf,Texas Logistics and Fulfillment Services LLC,$34M,https://texaslogisticservices.com/,"Warehousing, fulfillment, and last-mile logistics.","Warehousing, fulfillment, and last-mile logistics.",3.00,CC,
FP TCE_v7.45 - Clarion Technologies (2025-03-05).pdf,plastic parts using advanced molding technologies. Industry Risk Assessment KPI Rating Contribution Industry Group Description,$89M,https://www.clariontechnologies.com/,Injection-molded plastic components manufacturer.,Injection-molded plastic components manufacturer.,2.50,C,
FP TCE_v7.52 - American Spraytech (2025-07-08) - PROFORMA.pdf,"American Spraytech Holdings, LLC (PROFORMA)",$270.9M,https://www.americanspraytech.com/,Contract manufacturer of aerosol and Bag-on-Valve products.,Contract manufacturer of aerosol and Bag-on-Valve products.,6.00,,
FP TCE_v7.44 - Bread Partners (2024-09-12).pdf,"Breadpartners, Inc.",$27.7M,https://breadpartners.com/,Supplies innovative ingredients for bakery products.,Supplies innovative ingredients for bakery products.,4.50,,
FP TCE_v7.44 - Laser Precision (2024-10-15).pdf,"Laser Precision, LLC (wholly-owned sub of Weller Metalworks since 8/23)",$23M,https://laserprecision.com/,Precision metal fabrication and laser cutting services.,Precision metal fabrication and laser cutting services.,4.50,,
FP TCE_v7.44 - cbdMD (2024-11-25).pdf,"cbdMD, Inc.",$19.9M,https://www.cbdmd.com/,Produces and distributes CBD wellness products.,Produces and distributes CBD wellness products.,3.00,,
FP TCE_v7.44 - K&A Industries (2024-11-08).pdf,"K & A Industries, Inc.",$37M,https://kaindustries.com/,Provides identity management and secure access solutions.,Provides identity management and secure access solutions.,5.50,B+,
FP TCE_v6.65 - Christie Lites (2023-11-22).pdf,Christie Lites Enterprises,$164.2M,https://www.christielites.com/,Production lighting rental / service,Production lighting rental / service,,,
"FP TCE_v6.66 - Boston Battery, LLC (2024-04-01).pdf","Boston Battery, LLC",$64.9M,https://www.bostonbattery.net/,Specializes in battery distribution and automotive parts.,Specializes in battery distribution and automotive parts.,,,
FP TCE_v6.67 - Clique Here LLC (2024-04-30).pdf,Clique Here LLC,$3.5M,https://cliquehere.com/,Provides warehousing and worldwide shipping services.,Provides warehousing and worldwide shipping services.,,,
FP TCE_v7.44 - Cal Plate (2024-12-27).pdf,Cal Plate Acquisition Corporation,$29M,https://www.calplate.com/,Prepress and tooling solutions for packaging.,Prepress and tooling solutions for packaging.,5.00,B,
FP TCE_v6.67 - RD Foods Americas Inc. (2026-05-20).pdf,RD Foods Americas Inc. (wholly-owned sub of RD Corporation),$15.3M,https://rdfoodsamericas.com/,Wholesale importer and distributor of canned food products,Wholesale importer and distributor of canned food products,,,
FP TCE_v7.44 - Caldic (2024-10-14).pdf,industries. Industry Risk Assessment KPI Rating Contribution Industry Group Description,$2350M,https://www.caldic.com/,Provider of customized life sciences and industrial solutions.,Provider of customized life sciences and industrial solutions.,5.00,B,
FP TCE_v6.65 - IMCD (2023-11-27).pdf,IMCD N.V,$2098M,https://www.imcdgroup.com,"Formulation, sales and distribution of speciality chemicals.","Formulation, sales and distribution of speciality chemicals.",,,
FP TCE_v7.44 - The Gorilla Glue Company (2024-12-07).pdf,GG Brands Company,$499M,https://gorillatough.com/,Manufactures high-strength adhesives and sealants.,Manufactures high-strength adhesives and sealants.,8.00,A,
FP TCE_v7.44 - A&J Direct (2025-01-08).pdf,"A&J Direct, Inc.",$29M,https://www.carriersource.io/carriers/a-j-direct-inc,Licensed interstate general freight carrier.,Licensed interstate general freight carrier.,3.50,CC,
FP TCE_v7.44 - Cal Plate (2024-12-31).pdf,Cal Plate Acquisition Corporation,$18.1M,https://www.calplate.com/,Prepress and tooling solutions for packaging.,Prepress and tooling solutions for packaging.,5.00,,
FP TCE_v7.45 - Humboldt Manufacturing (2025-02-24).pdf,"strong domestic and international presence. They sell directly via catalogs, Industry Risk Assessment KPI Rating Contribution Industry Group Description",$42M,https://www.humboldtmfg.com/,Manufactures testing equipment for construction materials.,Manufactures testing equipment for construction materials.,5.00,B,
FP TCE_v7.44 - Actron Engineering (2025-01-25).pdf,"Actron Entities, Inc",$14M,https://actronengineering.com,Precision manufacturing for critical industry applications.,Precision manufacturing for critical industry applications.,4.50,,
FP TCE_v7.44 - CSG (2025-01-03).pdf,"Clean Solutions Group, Inc. (CSG)",$108M,https://cleangrp.com/,Produces sustainable nonwoven air and sanitation products.,Produces sustainable nonwoven air and sanitation products.,5.50,B+,
FP TCE_v7.44 - Del Val Food Ingredients (2025-01-17).pdf,"Del-Val Food Ingredients, Inc.",$38.9M,https://www.dvfi.com/en,Provides flavor and bakery ingredient solutions.,Provides flavor and bakery ingredient solutions.,4.00,,
FP TCE_v7.45 - Chicagoland Quad Cities Express (2025-02-10).pdf,"Chicagoland-Quad Cities Express, Inc.",$22M,https://chicagolandwarehouse.com/,Warehousing and transportation for specialized goods.,Warehousing and transportation for specialized goods.,4.00,CCC,
FP TCE_v7.44 - Quench USA (2025-01-16).pdf,"Quench USA, Inc (sub of Culligan, owned by BDT Capital)",$352M,https://quenchwater.com/,Provides point-of-use water and beverage solutions.,Provides point-of-use water and beverage solutions.,5.50,B+,
FP TCE_v7.44 - Amphenol (2025-01-13).pdf,Amphenol Corporation,$12554.7M,https://amphenol.com/,"Interconnect, sensor, and antenna solutions provider","Interconnect, sensor, and antenna solutions provider",7.00,,
FP TCE_v6.66 - Beverly Knits Inc. (2024-02-23).pdf,"Beverly Knits, Inc.",$51.8M,https://www.beverlyknits.com/,Specializes in innovative textile manufacturing and design.,Specializes in innovative textile manufacturing and design.,,,
FP TCE_v7.45 - Ludlow Manufacturing (2025-03-12).pdf,"Ludlow Manufacturing, Inc.",$21.9M,https://www.ludlowmfg.com/,Precision metal fabrication for OEMs.,Precision metal fabrication for OEMs.,4.50,,
FP TCE_v7.52 - EA Engineering (2025-05-20).pdf,"at 9.9%, well below the 24.9% peer median—highlighting EA's ability to absorb shocks environmental and infrastructure challenges. As a Public Benefit Corporation, EA Cash And Cash Equivalents 44,712 33,604 -24.8%",$244.7M,https://eaest.com/,Environmental consulting and infrastructure engineering services.,Environmental consulting and infrastructure engineering services.,5.00,,
FP TCE_v6.65 - Crown Packaging (2023-10-10).pdf,Crown Packaging Corp. and Affiliates,$361M,https://crownpack.com/,Industrial packaging products and equipment,Industrial packaging products and equipment,,,
FP TCE_v7.44 - NI-JO (2024-11-18).pdf,"NI-JO, LLC",$47M,https://nijoinc.com/,Custom sewing and manufacturing solutions provider.,Custom sewing and manufacturing solutions provider.,1.00,D,
FP TCE_v7.45 - Verra Mobility Corp (2025-03-17).pdf,Verra Mobility Corporation,$299M,https://www.verramobility.com/,Smart mobility solutions for transportation automation.,Smart mobility solutions for transportation automation.,6.00,BB,
FP TCE_v7.44 - Bo Sports (2025-01-19).pdf,"Bo Sports, LLC",$27M,https://www.thebosports.com,Wholesales sneakers and branded streetwear.,Wholesales sneakers and branded streetwear.,4.00,CCC,
"FP TCE_v6.67 - ACTEGA North America, Inc. (2024-04-16).pdf","ACTEGA North America, Inc.(Guarantor & partent ACTEGA Gmbh, overall part of Altana AG)",$2741.5M,https://www.actega.com/emea/en/,"Manufacturer of water based coatings, inks and adhesives","Manufacturer of water based coatings, inks and adhesives",,,
FP TCE_v7.44 - WeldFit (2024-11-05).pdf,"WeldFit Management Holdings, LLC",$122M,https://www.weldfit.com/,Manufactures pipeline equipment for oil and gas,Manufactures pipeline equipment for oil and gas,6.00,BB,
FP TCE_v7.45 - G&W Products (2025-02-27).pdf,"G & W Products, Inc.",$49.9M,https://www.gandwproductsinc.com/,"Metal fabrication, stamping, welding, and coating.","Metal fabrication, stamping, welding, and coating.",5.50,,
FP TCE_v7.44 - ICE (2024-12-18).pdf,"Intercontinental Exchange, Inc. (ICE)",$1838M,https://www.ice.com/,"Global financial markets, CCP, and data infrastructure.","Global financial markets, CCP, and data infrastructure.",7.50,,
FP TCE_v7.44 - Flowers Baking (2024-10-17).pdf,"Flowers Foods, Inc.",$4099M,https://flowersfoods.com/,Leading producer of packaged bakery goods.,Leading producer of packaged bakery goods.,6.00,BB,
FP TCE_v7.44 - FleetPride (2024-10-23).pdf,"FleetPride, Inc.",$1572M,https://www.fleetpride.com,Distributor of heavy-duty truck parts and services.,Distributor of heavy-duty truck parts and services.,5.00,B,
FP TCE_v7.44 - Lincare Inc (2025-01-19).pdf,Industry Group Risk Profile Specialty Chemicals 20% 6.0 to,$7293M,https://www.linde.com/,Global provider of industrial gases and healthcare services.,Global provider of industrial gases and healthcare services.,8.00,A,
FP TCE_v6.64 - Multi-Color Corporation (2023-10-02).pdf,Multi-Color Corporation (MCC),$1725.6M,https://www.mcclabel.com/en,Provides global label solutions to a a number of the world’s most prominent,Provides global label solutions to a a number of the world’s most prominent,,,
FP TCE_v6.64 - Best Nest Inc. (2023-10-13).pdf,BestNest Inc.,$24.0M,https://www.bestnest.com,Online retailer of products for wildlife care and outdoor living.,Online retailer of products for wildlife care and outdoor living.,,,
FP TCE_v7.44 - VoidForm (2024-08-28).pdf,"VoidForm Products, LLC",$57.1M,https://voidform.com,Manufactures void systems for soil-expansion mitigation.,Manufactures void systems for soil-expansion mitigation.,6.50,,
FP TCE_v7.44 - Cheer Gym (2024-10-31).pdf,"Champion Gymnastics and Cheer, LLC",$11M,,Youth-focused gymnastics and cheer training center.,Youth-focused gymnastics and cheer training center.,4.00,CCC,
FP TCE_v7.44 - Circuit Works Corporation (2025-01-23).pdf,Circuit Works Corporation (CWC),$69M,https://www.cwcems.com,Electronics manufacturing and assembly service provider.,Electronics manufacturing and assembly service provider.,5.00,B,
FP TCE_v7.53 - Momentum Glass (2025-06-04).pdf,"Momentum Exterior Systems, LLC - sub of HITT",$69M,https://momentum-glass.com/,Commercial glass and façade system contractor.,Commercial glass and façade system contractor.,4.50,,
FP TCE_v7.44 - Novartis (2024-10-29).pdf,medicines that improve patients’ lives. Industry Risk Assessment KPI Rating Contribution Industry Group Description,$12929M,https://www.novartis.com/,Global healthcare innovation and medicine development.,Global healthcare innovation and medicine development.,8.50,A+,
FP TCE_v7.44 - Fastenal (2024-11-05).pdf,Fastenal Company,$7134M,https://www.fastenal.com/,Distributes industrial and construction supply products.,Distributes industrial and construction supply products.,9.50,,
FP TCE_v7.44 - CK Life Sciences (2024-11-14).pdf,"CK Life Sciences International Holdings, Inc. (CKLS)",$5322.7M,https://www.ck-lifesciences.com/eng/,Biotechnology solutions for health and agriculture.,Biotechnology solutions for health and agriculture.,5.00,,
FP TCE_v7.53 - Profile Food Ingredients (2025-08-07).pdf,"Profile Food Ingredients, LLC (sub of RPM International (NYSE:RPM))",$52.8M,https://www.profilefoodingredients.com/,Custom food ingredient systems and blends.,Custom food ingredient systems and blends.,5.50,,
"FP TCE_v6.64 - Absolute Pallet, Inc. (2023-10-05).pdf","Absolute Pallet, Inc.",$3.0M,http://www.absolutepallet.com/,"Recycling, manufacturing, and logistical solutions related to pallets","Recycling, manufacturing, and logistical solutions related to pallets",,,
FP TCE_v7.44 - Viscot Medical (2024-12-28).pdf,"Viscot Medical, LLC",$15.2M,https://www.viscot.com/,Produces disposable medical products for healthcare.,Produces disposable medical products for healthcare.,5.50,,
FP TCE_v7.51 - Federal Rent-A-Fence (2025-04-25).pdf,"FEDERAL RENT-A-FENCE, LLC (FRAF)",$19.9M,https://federalrentafence.com,Temporary fencing and barricade rental services.,Temporary fencing and barricade rental services.,3.50,,
FP TCE_v7.52 - EZ Livery Leasing (2025-05-30).pdf,EZ Livery Leasing LLC,$120.3M,https://www.nyliveryleasing.com/,Leases vehicles to licensed livery drivers.,Leases vehicles to licensed livery drivers.,5.50,,
FP TCE_v7.53 - Great Wall Textile (2025-06-05).pdf,Great Wall Textile Inc.,$1.0M,,Textile wholesaler/importer and sublimation equipment supplier.,Textile wholesaler/importer and sublimation equipment supplier.,2.50,,
FP TCE_v7.45 - DIGI America (2025-03-11).pdf,"DIGI America, Inc. (wholly-owned sub of Teraoka Seiko Co., LTD)",$45.0M,https://www.digisystem.com/us/,"Distributor and wholesaler of scales, wrappers, labelers & POS systems.","Distributor and wholesaler of scales, wrappers, labelers & POS systems.",5.00,,
"FP TCE_v7.45 - Gofo, Inc (2025-03-19).pdf","Gofo, Inc. d/b/a Gofo Express",$301M,https://www.gofoexpress.com/,Expedited logistics and time-sensitive shipping services.,Expedited logistics and time-sensitive shipping services.,3.00,CC,
PROFORMA - FP TCE_v6.66 - Torrent Photonics & Salvo (2024-04-11).pdf,Torrent Photonics LLC (includes Salvo Technologies LLC),$56.6M,https://torrentphotonics.com/,Develops precision optics and imaging devices.,Develops precision optics and imaging devices.,,,
"FP TCE_v6.57 - Master_American Musical Supply, Inc. (2023-09-21).pdf","American Musical Supply, Inc. (AMS)",$336M,https://www.americanmusical.com/,Online musical instrument retailer and wholesale supplier,Online musical instrument retailer and wholesale supplier,,,
FP TCE_v7.44 - USA Wheel & Tire (2024-11-23).pdf,"USA Wheel & Tire Outlet, Inc.",$87.9M,https://usawheelstires.com/,Wholesale distributor of tires and wheels.,Wholesale distributor of tires and wheels.,4.00,,
FP TCE_v7.45 - Estee Lauder Companies (2025-04-07).pdf,The Estée Lauder Companies Inc.,$2069M,https://www.esteelauder.com/,Global developer and seller of prestige beauty.,Global developer and seller of prestige beauty.,7.00,BBB,
FP TCE_v6.63 - Acme Lock  Door Experts (2023-10-04).pdf,"Acme Lock Company, LLC",$6.4M,https://www.acmelock.com/,Safety and security devices,Safety and security devices,,,
FP TCE_v7.44 - Caldic (2024-12-19).pdf,Caldic Holdings B.V.,$2222.4M,https://www.caldic.com/,"Distributes and manufactures specialty chemicals, ingredients.","Distributes and manufactures specialty chemicals, ingredients.",5.00,,
FP TCE_v7.44 - Brady (2024-09-17) - LIGHT ASSESSMENT.pdf,"Brady Industries of Illinois, LLC",$17M,https://www.bradyindustries.com/,"Distributor of cleaning, sanitation, and foodservice products.","Distributor of cleaning, sanitation, and foodservice products.",4.50,,
FP TCE_v7.44 - YesVideo (2024-10-04).pdf,"YesVideo, Inc.",$3.8M,https://www.yesvideo.com/,Converts old media to digital and cloud formats.,Converts old media to digital and cloud formats.,3.50,,
"FP TCE_v7.44 - Greif, Inc (2025-01-12).pdf","Greif, Inc.",$5448.1M,https://www.greif.com/,Global provider of industrial packaging solutions.,Global provider of industrial packaging solutions.,5.50,,
FP TCE_v6.23 - cbdMD_v2.pdf,"cbdMD, Inc.",$103M,https://www.cbdmd.com/,CBD Manufacturer / Distributor,CBD Manufacturer / Distributor,,,
FP TCE_v7.44 - Delta Landscaping (2024-11-05).pdf,"Delta Landscape Supply Of Georgia, Inc.",$17M,https://www.deltalandscape.com/,Supplies erosion control and landscaping products.,Supplies erosion control and landscaping products.,4.50,,
FP TCE_v7.52 - Marcolin (2025-05-06).pdf,Macrolin U.S.A. Eyewear Corp (sub of Marcolin Group),$179.6M,https://www.marcolin.com/en/,Distributes (only!) licensed fashion eyewear in U.S.,Distributes (only!) licensed fashion eyewear in U.S.,5.50,,
FP TCE_v7.44 - Vitaquest (2024-11-14).pdf,"Vitaquest International, LLC",$189M,https://vitaquest.com/,Contract manufacturer of dietary supplements.,Contract manufacturer of dietary supplements.,6.50,,
"FP TCE_v7.44 - NewCo, Plastics (2025-01-16).pdf","NewCo Plastics, LLC",$116M,https://www.newcoplastics.com/,Precision plastic injection molding manufacturers.,Precision plastic injection molding manufacturers.,5.00,B,
FP TCE_v7.45 - TruckPro (2025-02-12).pdf,TruckPro Holding Corporation,$648M,https://www.truckpro.com/,Heavy-duty truck parts distribution and services.,Heavy-duty truck parts distribution and services.,4.00,CCC,
